version,score,error_auroc,error_aupr
CNN-10,msp,0.9020812109040168,0.4151092193026803
CNN-10,entropy,0.8987971027434999,0.3866695500516602
CNN-10,temperature_msp,0.9019913019125708,0.4080554350127253
CNN-10,energy,0.1001349242364873,0.0416201444814094
CNN-10,prototype,0.4169611489883112,0.0594494794486257
CNN-10,mahalanobis,0.5211501789978671,0.0850990278340091
CNN-10,knn,0.7386412442918422,0.1528015221912779
CNN-10,before_temperature,,0.0162098536827056
CNN-10,after_temperature,1.918879373612628,0.0521939161031142
TCN-20,msp,0.9465129368133488,0.6400913027796021
TCN-20,entropy,0.9487260834472496,0.6604955280358491
TCN-20,temperature_msp,0.9477013685627144,0.647574051288376
TCN-20,energy,0.0523804898697008,0.0606910042241641
TCN-20,prototype,0.5770480831342363,0.1245294988987666
TCN-20,mahalanobis,0.7995685678888457,0.4823458653289303
TCN-20,knn,0.8972778466057805,0.4673647972968922
TCN-20,before_temperature,,0.0233086690275812
TCN-20,after_temperature,1.3252467782864277,0.0324227551310699
ResNet1D-12,msp,0.8923597539462179,0.3667853207061494
ResNet1D-12,entropy,0.8929420607771249,0.3713257467140833
ResNet1D-12,temperature_msp,0.8971028854561354,0.3782618455520469
ResNet1D-12,energy,0.1116151497952108,0.041115871898019
ResNet1D-12,prototype,0.5072880393931491,0.077537246601834
ResNet1D-12,mahalanobis,0.541831290555155,0.145008121139223
ResNet1D-12,knn,0.8553320345457055,0.2894757566965518
ResNet1D-12,before_temperature,,0.0596216367762034
ResNet1D-12,after_temperature,3.2851971110459632,0.0298889246848306
InceptionTime-12,msp,0.9079969360626616,0.3569115919480138
InceptionTime-12,entropy,0.9086951143909678,0.3566835140854055
InceptionTime-12,temperature_msp,0.9096689874700462,0.3613262063712059
InceptionTime-12,energy,0.089227488405918,0.0329044999312035
InceptionTime-12,prototype,0.4279192348502009,0.0485922376172262
InceptionTime-12,mahalanobis,0.3462360960431097,0.0433003015832838
InceptionTime-12,knn,0.8444679240334292,0.179200558155691
InceptionTime-12,before_temperature,,0.0135067991958641
InceptionTime-12,after_temperature,1.7724579928277544,0.039145104855484
BiGRU-12,msp,0.9296043344771536,0.6055825206252909
BiGRU-12,entropy,0.9342095719703812,0.653402280551367
BiGRU-12,temperature_msp,0.9298870868701464,0.6085335434932563
BiGRU-12,energy,0.0585472277406537,0.0994997562101052
BiGRU-12,prototype,0.5449015712479682,0.2009600787725573
BiGRU-12,mahalanobis,0.6245603034134007,0.2755791474226772
BiGRU-12,knn,0.8826527000180603,0.5174045817382067
BiGRU-12,before_temperature,,0.0954303777736165
BiGRU-12,after_temperature,1.1319759003570988,0.0943859803874053
RegularityFusion-12,msp,0.9324835042198508,0.4524680561974339
RegularityFusion-12,entropy,0.9299808886098904,0.4249580775672645
RegularityFusion-12,temperature_msp,0.9318233940154844,0.4417650727804721
RegularityFusion-12,energy,0.069823812513078,0.0451559325886679
RegularityFusion-12,prototype,0.3662802538885401,0.0603450244119913
RegularityFusion-12,mahalanobis,0.7131282695124503,0.247836196232645
RegularityFusion-12,knn,0.7611701192718141,0.2035822644681866
RegularityFusion-12,before_temperature,,0.0301784479901903
RegularityFusion-12,after_temperature,1.800734852488339,0.0200233973578143
GatedFusion-12,msp,0.8463123767363327,0.3580673523542922
GatedFusion-12,entropy,0.8473703159806466,0.3878455626576811
GatedFusion-12,temperature_msp,0.8457439450048951,0.3807249593600026
GatedFusion-12,energy,0.1503470892038763,0.0288565627332452
GatedFusion-12,prototype,0.8242951801245763,0.1726279209853897
GatedFusion-12,mahalanobis,0.6656264632018047,0.1227868694915262
GatedFusion-12,knn,0.8418323188467486,0.2459262840140537
GatedFusion-12,before_temperature,,0.0285423683392088
GatedFusion-12,after_temperature,1.8887908531967017,0.0242069013000274
GatedFusion-BoundaryOnly,msp,0.8783880733662619,0.4034561658067591
GatedFusion-BoundaryOnly,entropy,0.8804977252560688,0.4036348334056399
GatedFusion-BoundaryOnly,temperature_msp,0.8836238953258757,0.4100729933723311
GatedFusion-BoundaryOnly,energy,0.0832602440412993,0.0382932029379096
GatedFusion-BoundaryOnly,prototype,0.4674650068986034,0.0797586294671795
GatedFusion-BoundaryOnly,mahalanobis,0.5069800273892505,0.0913831606730254
GatedFusion-BoundaryOnly,knn,0.6022249919217098,0.1113884558061403
GatedFusion-BoundaryOnly,before_temperature,,0.0270909435383775
GatedFusion-BoundaryOnly,after_temperature,1.7956368231755435,0.0282423225495632
