method,review_burden,n_seeds,all_error_captured_mean,all_error_captured_std,vtvf_error_captured_mean,vtvf_error_captured_std,auto_error_rate_mean,auto_error_rate_std,auto_vtvf_error_rate_mean,auto_vtvf_error_rate_std,review_error_enrichment_mean,review_error_enrichment_std
RISK_distilled_head,0.1,3,0.5873520271506795,0.15442459963213562,0.608681112894596,0.10968723896344933,0.05373678526305992,0.03832636803049821,0.01895722853965624,0.004862057266329007,5.871330016214802,1.54266160869867
RISK_distilled_head,0.2,3,0.8713652408951589,0.054835827588351684,0.8855877268798616,0.06322333869530561,0.01882167577039029,0.014368178609076921,0.00623216717188423,0.003450857785819637,4.357203604853195,0.2745931317681374
RISK_distilled_head,0.3,3,0.9669863302241316,0.020271837512229274,0.9880450775815944,0.011304752462054625,0.00543752159805129,0.0048889545775362775,0.0007689192874051525,0.0007170910398061395,3.223105952662421,0.0672855716910612
boundary_lrii,0.1,3,0.2443992955075199,0.09491406997320348,0.38830282545170186,0.06542682551581366,0.09321357180587037,0.041611555483895515,0.029779537858193244,0.0026870253644995803,2.443360557420469,0.9496734479309973
boundary_lrii,0.2,3,0.33680365713328286,0.08627298519707033,0.5272564514137548,0.07284726377600356,0.09249595340131907,0.04460025085525335,0.025849654428212184,0.0031039388167761897,1.6841649988566056,0.4314096606439374
boundary_lrii,0.3,3,0.47071570685275327,0.1580094787903234,0.6324430485245092,0.10069487326443918,0.08635617700211846,0.055305062852327856,0.022878782401507158,0.00518871845732091,1.5689434388483836,0.5265728008515448
conformal_lac_alpha_0.10,0.1,3,0.48351013460212133,0.1726070267936155,0.49190486479812323,0.22975511252685282,0.06678797684129961,0.04090679942543218,0.024355094998062553,0.00973368760934764,4.833705443880894,1.7268190376319457
conformal_lac_alpha_0.10,0.2,3,0.628301646122544,0.2232648111193412,0.694077458122402,0.2614969941986725,0.057145423305030855,0.04549641218478592,0.016227415616941753,0.013168001915028748,3.1417379525815723,1.1162106465093995
conformal_lac_alpha_0.10,0.3,3,0.6660771819089591,0.2600425470080889,0.7163988866938306,0.2925374125317557,0.060570092376168096,0.054063518849435575,0.01706748941991976,0.017155745830873387,2.2201535014029137,0.8668695469379746
entropy,0.1,3,0.5208378083266448,0.1507853721076427,0.48130684858212947,0.2203250833715414,0.06191545949472185,0.038421564106684375,0.025061436403532075,0.01030028811713849,5.2067276796309345,1.508217638777602
entropy,0.2,3,0.8454907428277568,0.08558341114629836,0.8449602831625304,0.07996218803806622,0.023144455457209195,0.020393759464580427,0.008340676630754294,0.003910865471429752,4.2278291840794715,0.42832055806270986
entropy,0.3,3,0.964462859810753,0.028613841132552182,0.9985119047619048,0.0025774565588822487,0.006062830410226048,0.00662299630193233,9.859016070196194e-05,0.00017076316746217856,3.214693527001074,0.09510626291303954
knn_atypicality,0.1,3,0.4093640295637535,0.09091878229526933,0.11008689344363502,0.11520519151581914,0.07068453814955221,0.028225178535531765,0.04329896504183684,0.00475943714922723,4.091943619002894,0.9062919880507317
knn_atypicality,0.2,3,0.5892314770288302,0.06406778497409207,0.2524167078240112,0.14155920234594901,0.05365902790581867,0.01260955817613328,0.04098568685094648,0.007793181997541642,2.9464122027902735,0.32049521962203814
knn_atypicality,0.3,3,0.6792033348012888,0.039243819238171204,0.3904828785446763,0.10698758206524432,0.04828771325505484,0.012826615028454455,0.038215456927774755,0.0068860901473417465,2.263882902299924,0.13072582355048284
multi_source_lrii,0.1,3,0.4611034369904224,0.09274303283852703,0.36555696176482694,0.174803303565947,0.06730385106554786,0.03530159830235352,0.030862065887063656,0.008359099404478224,4.609368541935667,0.9262919368544188
multi_source_lrii,0.2,3,0.6578489032820444,0.13767563565021712,0.520097645799893,0.19385076345412508,0.0505515547076642,0.03711430110531855,0.026138476101444902,0.01030043817888367,3.289538908008962,0.6885486832909845
multi_source_lrii,0.3,3,0.7500065133823354,0.15912538545198213,0.6463092151294398,0.1678975250678333,0.04433086254085089,0.04112194055468546,0.021878180241621276,0.009921399721650938,2.499873343576415,0.530338959026701
softmax_uncertainty_1_minus_msp,0.1,3,0.5165901367898608,0.15180264704787896,0.4942919907807548,0.20870612421809862,0.06247958239132368,0.03899318416580884,0.02444203466221317,0.009740154031933141,5.164243252096572,1.5182818868972958
softmax_uncertainty_1_minus_msp,0.2,3,0.8414493546830967,0.09019892119293232,0.8398091842614314,0.08296639867750062,0.02379633270755192,0.021291718780597265,0.008615479974611345,0.00403593396644208,4.2076222433561705,0.4514026913731994
softmax_uncertainty_1_minus_msp,0.3,3,0.9621928908687046,0.028216502719802132,0.9985119047619048,0.0025774565588822487,0.006387443174105875,0.006616320351693968,9.859016070196194e-05,0.00017076316746217856,3.207127392669289,0.09377918614246165
